file,dataset,length,n_nan,n_inf,dtype_numeric,label_ok,n_anomaly,contamination,std,is_constant,n_segments,mean_seg_len,max_seg_len,anomaly_at_start,anomaly_at_end
001_NAB_id_1_Facility_tr_1007_1st_2014.csv,NAB,4031,0,0,True,True,343,0.08509054825105433,2.287061911262223,False,3,114.33333333333333,134,False,True
002_NAB_id_2_WebService_tr_1500_1st_4106.csv,NAB,6000,0,0,True,True,637,0.10616666666666667,19.680444608798854,False,1,637.0,637,False,False
003_NAB_id_3_WebService_tr_1362_1st_1462.csv,NAB,15852,0,0,True,True,1523,0.09607620489528135,1.0936093447573985,False,3,507.6666666666667,731,False,False
004_NAB_id_4_Facility_tr_1007_1st_1437.csv,NAB,4031,0,0,True,True,402,0.09972711485983626,4607790.192409995,False,1,402.0,402,False,False
005_NAB_id_5_Traffic_tr_594_1st_1645.csv,NAB,2379,0,0,True,True,238,0.10004203446826397,3.404427373303112,False,1,238.0,238,False,False
006_NAB_id_6_Traffic_tr_2579_1st_5839.csv,NAB,10319,0,0,True,True,1030,0.09981587363116581,6939.367075759493,False,5,206.0,206,False,False
007_NAB_id_7_Traffic_tr_624_1st_2087.csv,NAB,2499,0,0,True,True,248,0.09923969587835134,4.370494067586513,False,2,124.0,124,False,False
008_NAB_id_8_Synthetic_tr_1007_1st_2734.csv,NAB,4031,0,0,True,True,402,0.09972711485983626,0.4422622187232709,False,1,402.0,402,False,False
009_NAB_id_9_Traffic_tr_500_1st_438.csv,NAB,2161,0,0,True,True,216,0.0999537251272559,444.740619214003,False,1,216.0,216,False,False
010_NAB_id_10_WebService_tr_500_1st_271.csv,NAB,1000,0,0,True,True,148,0.148,0.08381663144381382,False,3,49.333333333333336,50,False,True
011_NAB_id_11_Facility_tr_1007_1st_1526.csv,NAB,4031,0,0,True,True,474,0.11758868767055321,12.078659654647447,False,1,474.0,474,False,False
012_NAB_id_12_Synthetic_tr_1007_1st_2787.csv,NAB,4031,0,0,True,True,513,0.12726370627635822,27.6390174731525,False,1,513.0,513,False,False
013_NAB_id_13_Traffic_tr_623_1st_2084.csv,NAB,2494,0,0,True,True,248,0.09943865276663993,5.191708245998492,False,2,124.0,124,False,False
014_NAB_id_14_WebService_tr_500_1st_1045.csv,NAB,1537,0,0,True,True,152,0.0988939492517892,0.33695015448267973,False,1,152.0,152,False,False
