file,dataset,length,mean,std,median,mad,min,max,range,iqr,skewness,kurtosis,outlier_ratio,n_anomaly,contamination,n_segments,min_seg_len,mean_seg_len,max_seg_len,frac_points_in_seq,anomaly_type,acf_lag1,trend_strength,rolling_std_cv,diff_std_ratio,spectral_entropy,dominant_freq,dominant_period,low_freq_ratio
001_NAB_id_1_Facility_tr_1007_1st_2014.csv,NAB,4031,45.15569684941702,2.287061911262223,45.016000000000005,1.2140000000000055,22.864,99.248,76.384,2.4179999999999997,3.06181007769668,86.86465243049412,0.0627635822376581,343,0.0850905482510543,3,75,114.33333333333331,134,1.0,sequence,-0.1427702347050762,0.05881453095280881,0.4178446658155292,1.5082621007896586,0.8929636960448718,0.0004961548002976929,2015.5,0.15886051048178412
002_NAB_id_2_WebService_tr_1500_1st_4106.csv,NAB,6000,20.81,19.68044460879885,17.0,7.0,0.0,452.0,452.0,14.0,7.952394829130694,113.6684384501182,0.0808333333333333,637,0.1061666666666666,1,637,637.0,637,1.0,sequence,0.6884682624473215,0.02320162274870957,1.1411109774020671,0.7893622414359267,0.7782880318148312,0.0035,285.7142857142857,0.6185923229347126
003_NAB_id_3_WebService_tr_1362_1st_1462.csv,NAB,15852,0.3596391622508201,1.0936093447573985,0.0,0.0,0.0,50.0,50.0,0.0,17.030521703312992,585.8619970989112,0.2302548574312389,1523,0.0960762048952813,3,396,507.6666666666667,731,1.0,sequence,0.325792953177969,0.03897098701233551,1.0503996272627443,1.1612450048917171,0.9230195231995285,0.00346959374211456,288.2181818181818,0.29198354007808114
004_NAB_id_4_Facility_tr_1007_1st_1437.csv,NAB,4031,570889.031778715,4607790.192409995,234227.0,15910.0,38516.6,245126000.0,245087483.4,32438.0,44.4314129204338,2174.856912650529,0.1317290994790374,402,0.0997271148598362,1,402,402.0,402,1.0,sequence,0.19243668029090086,0.057375509304585855,4.375311066387427,1.2710078543762122,0.9654906042130075,0.0833540064500124,11.99702380952381,0.2349112054512374
005_NAB_id_5_Traffic_tr_594_1st_1645.csv,NAB,2379,4.495750315258512,3.404427373303112,3.83,2.05,0.0,22.28,22.28,4.23,1.308200033544178,2.204601861542713,0.0735603194619588,238,0.1000420344682639,1,238,238.0,238,1.0,sequence,0.6116972213448219,0.08430562321410404,0.4247364092039272,0.8813982612511144,0.7538082701081746,0.008406893652795292,118.95,0.6390271566098423
006_NAB_id_6_Traffic_tr_2579_1st_5839.csv,NAB,10319,15137.985463707724,6939.367075759493,16778.0,4087.0,8.0,39197.0,39189.0,9578.5,-0.4525497055245979,-0.7797522895518711,0.1317957166392092,1030,0.0998158736311658,5,206,206.0,206,1.0,sequence,0.9706431644492257,0.018200712896205215,0.10603787387627543,0.24229964151648065,0.32621392438438473,0.020835352262816166,47.9953488372093,0.9379760987896987
007_NAB_id_7_Traffic_tr_624_1st_2087.csv,NAB,2499,7.240112044817928,4.370494067586513,6.83,2.89,0.0,43.06,43.06,5.7700000000000005,1.3848685734482868,6.039379380478662,0.0260104041616646,248,0.0992396958783513,2,124,124.0,124,1.0,sequence,0.5950005987665249,0.09920805177249888,0.4072047353435588,0.9001706876831178,0.7629506328254252,0.005202080832332934,192.2307692307692,0.6136463905403928
008_NAB_id_8_Synthetic_tr_1007_1st_2734.csv,NAB,4031,0.1075983724389233,0.4422622187232709,0.0,0.0,0.0,3.2248149307000005,3.2248149307000005,0.0,4.828200657989195,23.281910568317414,0.1128752170677251,402,0.0997271148598362,1,402,402.0,402,1.0,sequence,0.6059996263835941,0.09297188320573231,1.0601448897364456,0.8877976708195363,0.862337650459544,0.0004961548002976929,2015.5,0.36505771713812485
009_NAB_id_9_Traffic_tr_500_1st_438.csv,NAB,2161,327.2582137899121,444.740619214003,203.0,75.0,22.0,5578.0,5556.0,186.0,6.162568195940361,51.5844825492123,0.1508560851457658,216,0.0999537251272559,1,216,216.0,216,1.0,sequence,0.7028531007727201,0.2266766787169613,0.990453837839841,0.7710665999389938,0.821461051006332,0.0018509949097639982,540.25,0.6011532164525595
010_NAB_id_10_WebService_tr_500_1st_271.csv,NAB,1000,0.1348480640821859,0.0838166314438138,0.112189417384,0.0233589134405499,0.0388988476312,1.034,0.9951011523688,0.05669516591645,5.584950773606244,45.82080633081844,0.14,148,0.148,3,48,49.333333333333336,50,1.0,sequence,0.564485665184792,0.16047163210454438,0.7019616945703228,0.933520161525269,0.8414492326310917,0.001,1000.0,0.3897473607350367
